longitude; latitude; x; y; z;
-61.250000; 123.979592; 573.696970; 188.090909; 472.088235;
-61.250000; 129.489796; 573.794118; 352.694444; 471.033333;
-61.250000; 135.000000; 575.294118; 164.125000; 468.735294;
-56.458333; -135.000000; 576.060606; 263.636364; 466.676471;
-56.458333; -129.489796; 576.843750; 391.085714; 465.272727;
-56.458333; -123.979592; 574.606061; 132.363636; 459.470588;
-56.458333; -118.469388; 577.593750; 122.272727; 456.685714;
-56.458333; -112.959184; 576.718750; 118.939394; 451.028571;
-56.458333; -107.448980; 573.281250; 132.371429; 448.000000;
-56.458333; -101.938776; 577.382353; 404.885714; 432.709677;
-56.458333; -96.428571; 575.393939; 448.970588; 431.151515;
-56.458333; -90.918367; 576.138889; 459.741935; 423.060606;
-56.458333; -85.408163; 577.542857; 459.212121; 414.125000;
-56.458333; -79.897959; 578.300000; 460.970588; 410.972222;
-56.458333; -74.387755; 574.257143; 279.742857; 408.400000;
-56.458333; -68.877551; 580.468750; 131.566667; 392.447368;
-56.458333; -63.367347; 576.111111; 136.914286; 385.241379;
-56.458333; -57.857143; 575.857143; 124.064516; 381.970588;
-56.458333; -52.346939; 577.323529; 135.833333; 372.900000;
-56.458333; -46.836735; 577.848485; 125.250000; 367.200000;
-56.458333; -41.326531; 579.057143; 128.750000; 358.272727;
-56.458333; -35.816327; 580.548387; 342.882353; 349.085714;
-56.458333; -30.306122; 577.588235; 456.194444; 343.733333;
-56.458333; -24.795918; 574.705882; 445.117647; 336.562500;
-56.458333; -19.285714; 569.333333; 357.205882; 332.750000;
-56.458333; -13.775510; 569.000000; 319.647059; 335.096774;
-56.458333; -8.265306; 566.575758; 314.181818; 340.529412;
-56.458333; -2.755102; 563.941176; 308.516129; 348.571429;
-56.458333; 2.755102; 567.200000; 304.411765; 352.612903;
-56.458333; 8.265306; 564.457143; 302.741935; 359.882353;
-56.458333; 13.775510; 564.878788; 292.647059; 370.212121;
-56.458333; 19.285714; 563.676471; 297.705882; 377.343750;
-56.458333; 24.795918; 567.322581; 292.942857; 387.235294;
-56.458333; 30.306122; 565.911765; 295.363636; 398.393939;
-56.458333; 35.816327; 563.818182; 295.093750; 403.342857;
-56.458333; 41.326531; 562.031250; 294.558824; 414.058824;
-56.458333; 46.836735; 562.942857; 161.000000; 421.484848;
-56.458333; 52.346939; 566.828571; 124.428571; 431.133333;
-56.458333; 57.857143; 564.285714; 121.266667; 436.400000;
-56.458333; 63.367347; 564.375000; 115.090909; 446.114286;
-56.458333; 68.877551; 563.142857; 112.903226; 450.441176;
-56.458333; 74.387755; 565.225806; 120.200000; 460.294118;
-56.458333; 79.897959; 561.454545; 124.264706; 466.393939;
-56.458333; 85.408163; 564.375000; 117.611111; 472.781250;
-56.458333; 90.918367; 564.529412; 118.774194; 472.857143;
-56.458333; 96.428571; 564.933333; 113.750000; 476.973684;
-56.458333; 101.938776; 562.714286; 127.212121; 482.000000;
-56.458333; 107.448980; 566.709677; 117.147059; 482.828571;
-56.458333; 112.959184; 566.818182; 123.514286; 481.406250;
-56.458333; 118.469388; 565.030303; 120.457143; 484.937500;
-56.458333; 123.979592; 568.857143; 119.676471; 483.903226;
-56.458333; 129.489796; 564.657143; 122.466667; 482.714286;
-56.458333; 135.000000; 567.931034; 113.789474; 481.000000;
-51.666667; -135.000000; 570.444444; 121.833333; 477.000000;
-51.666667; -129.489796; 570.212121; 123.970588; 474.878788;
-51.666667; -123.979592; 569.514286; 125.870968; 468.558824;
-51.666667; -118.469388; 568.588235; 129.714286; 463.612903;
-51.666667; -112.959184; 568.088235; 123.705882; 460.375000;
-51.666667; -107.448980; 565.677419; 119.875000; 449.702703;
-51.666667; -101.938776; 567.500000; 125.058824; 448.000000;
-51.666667; -96.428571; 571.580645; 126.542857; 440.088235;
-51.666667; -90.918367; 568.878788; 117.343750; 430.685714;
-51.666667; -85.408163; 571.111111; 126.033333; 421.441176;
-51.666667; -79.897959; 570.575758; 235.783784; 413.966667;
-51.666667; -74.387755; 570.857143; 236.290323; 402.352941;
-51.666667; -68.877551; 572.000000; 128.166667; 395.633333;
-51.666667; -63.367347; 571.176471; 126.833333; 387.666667;
-51.666667; -57.857143; 569.142857; 123.666667; 378.714286;
-51.666667; -52.346939; 570.823529; 137.972222; 372.033333;
-51.666667; -46.836735; 573.121212; 119.437500; 363.171429;
-51.666667; -41.326531; 569.937500; 125.428571; 354.303030;
-51.666667; -35.816327; 570.714286; 127.562500; 342.060606;
-51.666667; -30.306122; 569.562500; 119.333333; 333.457143;
-51.666667; -24.795918; 569.548387; 118.470588; 330.285714;
-51.666667; -19.285714; 564.911765; 219.000000; 321.588235;
-51.666667; -13.775510; 556.764706; 300.970588; 323.031250;
-51.666667; -8.265306; 558.718750; 298.657143; 330.969697;
-51.666667; -2.755102; 559.257143; 293.034483; 338.527778;
-51.666667; 2.755102; 556.324324; 294.225806; 347.750000;
-51.666667; 8.265306; 555.233333; 288.171429; 358.085714;
-51.666667; 13.775510; 557.515152; 289.542857; 366.687500;
-51.666667; 19.285714; 559.515152; 275.088235; 374.303030;
-51.666667; 24.795918; 555.411765; 276.677419; 383.428571;
-51.666667; 30.306122; 558.942857; 279.281250; 397.878788;
-51.666667; 35.816327; 552.218750; 279.942857; 404.363636;
-51.666667; 41.326531; 555.000000; 289.363636; 415.558824;
-51.666667; 46.836735; 556.771429; 283.914286; 424.933333;
-51.666667; 52.346939; 554.885714; 294.066667; 432.171429;
-51.666667; 57.857143; 557.972222; 295.029412; 441.366667;
-51.666667; 63.367347; 556.806452; 220.000000; 452.729730;
-51.666667; 68.877551; 556.787879; 117.305556; 463.161290;
-51.666667; 74.387755; 556.633333; 120.542857; 466.114286;
-51.666667; 79.897959; 557.400000; 116.500000; 472.485714;
-51.666667; 85.408163; 559.419355; 119.735294; 480.028571;
-51.666667; 90.918367; 558.542857; 124.558824; 485.612903;
-51.666667; 96.428571; 556.970588; 116.870968; 490.400000;
-51.666667; 101.938776; 556.242424; 110.343750; 492.257143;
-51.666667; 107.448980; 558.852941; 119.600000; 495.193548;
-51.666667; 112.959184; 559.468750; 117.500000; 493.352941;
-51.666667; 118.469388; 559.485714; 122.781250; 498.787879;
-51.666667; 123.979592; 560.125000; 115.205882; 496.058824;
-51.666667; 129.489796; 560.333333; 121.187500; 491.714286;
